country_id,co2_pc,gdp_pc,urban,life_exp,country_name,region,income_level
ABW,5.00284093555268,34897.6183932009,61.8351492675589,76.353,Aruba,Latin America & Caribbean ,High income
AFG,0.280995468771367,413.757894705303,25.4730529631167,66.035,Afghanistan,"Middle East, North Africa, Afghanistan & Pakistan",Low income
AGO,0.743838637301548,2885.51349130806,69.8515032220457,64.617,Angola,Sub-Saharan Africa ,Lower middle income
ALB,1.75091161350407,9740.7023414631,58.2106086137857,79.602,Albania,Europe & Central Asia,Upper middle income
ARE,18.3804823292732,49850.6945082084,85.6680699002526,82.909,United Arab Emirates,"Middle East, North Africa, Afghanistan & Pakistan",High income
ARG,4.16990486776205,14261.8465667948,92.1945132257907,77.395,Argentina,Latin America & Caribbean ,Upper middle income
ARM,2.52966973653139,8159.08720967996,65.6956882008852,77.4658536585366,Armenia,Europe & Central Asia,Upper middle income
ATG,3.68747053024133,22012.2625947994,24.4500156687422,77.598,Antigua and Barbuda,Latin America & Caribbean ,High income
AUS,14.1596700845561,65058.3773146674,87.4866955653765,83.0512195121951,Australia,East Asia & Pacific,High income
AUT,6.40359510066021,56579.504175468,69.2265358276021,81.7926829268293,Austria,Europe & Central Asia,High income
AZE,4.1112835014681,7133.02838048328,58.5075350483702,74.429,Azerbaijan,Europe & Central Asia,Upper middle income
BDI,0.0693599815916636,249.795164039029,23.5534768372276,63.651,Burundi,Sub-Saharan Africa ,Low income
BEL,7.27763098404696,55244.68145811,87.551492636772,82.4,Belgium,Europe & Central Asia,High income
BEN,0.488426291085402,1394.17784721831,51.7457922964593,60.774,Benin,Sub-Saharan Africa ,Lower middle income
BFA,0.272029919860247,873.198061670247,27.7872478365158,61.092,Burkina Faso,Sub-Saharan Africa ,Low income
BGD,0.693947563901367,2551.01773827307,32.1578465036834,74.672,Bangladesh,South Asia,Lower middle income
BGR,5.73490257494032,15854.0192893772,73.7322671584613,75.7560975609756,Bulgaria,Europe & Central Asia,High income
BHR,24.5323732339754,29290.1284215098,100.0,81.284,Bahrain,"Middle East, North Africa, Afghanistan & Pakistan",High income
BHS,3.52944121770479,38231.774484278,81.3213799173676,74.552,"Bahamas, The",Latin America & Caribbean ,High income
BIH,6.53950474604507,8663.02326458629,51.5657239834305,77.85,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income
BLR,5.86387585149229,7896.75388295584,78.8146420666327,74.1837804878049,Belarus,Europe & Central Asia,Upper middle income
BLZ,0.913632980301917,7424.75821321022,41.9459437504976,73.566,Belize,Latin America & Caribbean ,Upper middle income
BMU,3.99239543726236,132961.760796315,100.0,82.309,Bermuda,North America,High income
BOL,1.99475521348588,4274.70820547613,70.9151414044538,68.581,Bolivia,Latin America & Caribbean ,Lower middle income
BRA,2.27447826989363,10377.5892792557,87.6159710235763,75.848,Brazil,Latin America & Caribbean ,Upper middle income
BRB,2.44602176130568,25583.8722302505,59.4235740235775,76.178,Barbados,Latin America & Caribbean ,High income
BRN,21.14308997296,32890.5491812019,74.8199193881365,75.327,Brunei Darussalam,East Asia & Pacific,High income
BTN,1.98465128404026,3831.32535564326,41.7352457989939,72.975,Bhutan,South Asia,Lower middle income
BWA,2.7096930785842,7827.30027960734,67.0212655349864,69.163,Botswana,Sub-Saharan Africa ,Upper middle income
CAF,0.0645327701288385,495.978897288721,43.6983692134165,57.408,Central African Republic,Sub-Saharan Africa ,Low income
CAN,14.1600452924171,54847.5370112652,82.5250564408346,81.6263414634146,Canada,North America,High income
CHE,3.78746475067225,104449.75451772,85.1854212679815,84.1560975609756,Switzerland,Europe & Central Asia,High income
CHL,3.91719041336885,17081.5180740049,88.8158617217972,81.167,Chile,Latin America & Caribbean ,High income
CHN,9.23027553501428,12951.1782397043,65.5301448035523,77.953,China,East Asia & Pacific,Upper middle income
CIV,0.575152377678325,2591.9659048119,53.4075201638704,61.944,Cote d'Ivoire,Sub-Saharan Africa ,Lower middle income
CMR,0.364184752751828,1720.47510154506,55.1286878511388,63.7,Cameroon,Sub-Saharan Africa ,Lower middle income
COD,0.0580434409082674,660.21205238997,44.3754734892194,61.895,"Congo, Dem. Rep.",Sub-Saharan Africa ,Low income
COG,1.27244805620677,2477.97845544866,63.6626757615625,65.772,"Congo, Rep.",Sub-Saharan Africa ,Lower middle income
COL,1.77360964835025,7012.49169137756,78.275571579544,77.725,Colombia,Latin America & Caribbean ,Upper middle income
COM,0.515412394592109,1723.89474946474,33.1502180946901,66.777,Comoros,Sub-Saharan Africa ,Lower middle income
CPV,1.24595323654924,4794.90119772843,75.9064245753376,76.059,Cabo Verde,Sub-Saharan Africa ,Upper middle income
CRI,1.58608566210135,17140.771430122,78.8819393641702,80.799,Costa Rica,Latin America & Caribbean ,High income
CYM,4.92072619732194,100065.233841107,100.0,80.358,Cayman Islands,Latin America & Caribbean ,High income
CYP,5.35563459868429,36623.70703125,66.6739477522639,81.648,Cyprus,Europe & Central Asia,High income
CZE,7.88005974203708,31761.5944102491,72.7352388396817,79.8268292682927,Czechia,Europe & Central Asia,High income
DEU,7.07982839106762,54776.7668235491,81.9034366692129,81.0414634146342,Germany,Europe & Central Asia,High income
